,Address,lat,lon
1,1320 King St W,43.637807,-79.43284399999999
2,518 Dufferin St,43.646427,-79.430449
3,1360 Queen St W,43.641495,-79.4333235
4,100 Starchan Ave,43.641295,-79.413892
